Darrell Fusaro|||||(American, 1962)|||||Good Night from Grown Ups|||||Lot 232 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 1,500 - 1,800 USD|||||Materials: Pastel on BFK Rives Paper Measurements: 29.50 in. (74.93 cm.) (height) by 22.00 in. (55.88 cm.) (width) Size Notes: framed: 38.5 x 30 in. Markings: signed, l.l. Condition: framed
Attributed to  Frans Pourbus the Younger|||||(Flemish, 1570 - 1622)|||||Portrait of a woman|||||Lot 3456 - Kaminski Auctions, Beverly (September 13, 2015)|||||September 13th Estate Sale|||||$ 7,000 USD 6,175 EUR 4,537 GBP|||||Original Currency of Sale: $ 7,000 USD Hammer Estimate: $ 1,800 - 3,000 USD|||||Materials: oil on board Measurements: 36.00 in. (91.44 cm.) (height) by 28.00 in. (71.12 cm.) (width) Size Notes: sight; frame size: 53.5 x 47 in. Description: 17th C Markings: labeled 'Francis Pourbus' Condition: gilt gesso frame
Victor Ostrovsky|||||(Canadian, Israeli, 1949)|||||The Monarch Cover|||||Lot 3471 - Kaminski Auctions, Beverly (September 13, 2015)|||||September 13th Estate Sale|||||$ 250 USD 220 EUR 162 GBP|||||Original Currency of Sale: $ 250 USD Hammer Estimate: $ 500 - 800 USD|||||Materials: giclee Measurements: 30.00 in. (76.20 cm.) (height) by 48.00 in. (121.92 cm.) (width) Markings: signed
Darrell Fusaro|||||(American, 1962)|||||Outside with Parents from Grown Ups|||||Lot 233 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 1,500 - 1,800 USD|||||Materials: Pastel on BFK Rives Paper Measurements: 22.00 in. (55.88 cm.) (height) by 29.50 in. (74.93 cm.) (width) Size Notes: framed: 30 x 38.5 in. Markings: signed, l.l. Condition: framed
Charles Hinman|||||(American, 1932)|||||Happy landing|||||Lot 221 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 15,000 USD 13,418 EUR 9,853 GBP|||||Original Currency of Sale: $ 15,000 USD Premium Estimate: $ 6,000 - 8,000 USD|||||Materials: acrylic on formed canvas over wood Measurements: 40.75 in. (103.50 cm.) (height) by 59.50 in. (151.13 cm.) (width) by 6.00 in. (15.24 cm.) (depth) Markings: signed, titled and dated 'Happy Landing Hinman 74', verso
Red Grooms|||||(American, 1937)|||||At the Beach|||||Lot 234 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 20,000 - 25,000 USD|||||Materials: Oil on Conjoined Wood Measurements: 5.00 in. (12.70 cm.) (height) by 12.25 in. (31.12 cm.) (width) Size Notes: framed: 14 x 21.5 in. Markings: signed and dated, l.c. Condition: framed
Giovan Battista Piranesi|||||(Italian, 1720 - 1778)|||||Veduta dell'interno del Anfiteatro Flavio detto ill Colosseo|||||Lot 3481 - Kaminski Auctions, Beverly (September 13, 2015)|||||September 13th Estate Sale|||||$ 400 USD 352 EUR 259 GBP|||||Original Currency of Sale: $ 400 USD Hammer Estimate: $ 300 - 500 USD|||||Materials: etching Measurements: 21.50 in. (54.61 cm.) (height) by 31.50 in. (80.01 cm.) (width) Size Notes: sheet size; plate size: 18 x 27.5 in.
Giancarlo Impiglia|||||(American, Italian, 1940)|||||At the Bar|||||Lot 235 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 50,000 - 60,000 USD|||||Materials: oil on canvas Measurements: 84.00 in. (213.36 cm.) (height) by 84.00 in. (213.36 cm.) (width) Markings: signed, dated
Giovan Battista Piranesi|||||(Italian, 1720 - 1778)|||||Venduta del Tempio ottangolare di Minerva Medica|||||Lot 3482 - Kaminski Auctions, Beverly (September 13, 2015)|||||September 13th Estate Sale|||||$ 325 USD 286 EUR 210 GBP|||||Original Currency of Sale: $ 325 USD Hammer Estimate: $ 300 - 500 USD|||||Materials: etching Measurements: 20.50 in. (52.07 cm.) (height) by 29.00 in. (73.66 cm.) (width) Size Notes: sheet size; plate size: 18.5 x 27.75 in.
Robert Indiana|||||(American, 1928)|||||The American Gas Works from the American Dream Portfolio|||||Lot 236 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 400 USD 357 EUR 262 GBP|||||Original Currency of Sale: $ 400 USD Hammer Estimate: $ 700 - 900 USD|||||Materials: silkscreen Measurements: 17.00 in. (43.18 cm.) (height) by 13.50 in. (34.29 cm.) (width) Size Notes: image; size: 22 x 17 in.
